index,attraction,location,blurb,url,description,tags
10,Shiratani Unsuikyo Ravine,"Yakushima, Japan","The magical, mossy forest that inspired Princess Mononoke.",https://www.atlasobscura.com/places/shiratani-unsuikyo,"Look closely when walking through the mossy trees of Shiratani Unsuikyo forest–there might be kodama, or tree spirits, nearby. It’s dense with greenery and very quiet, sound absorbed by the thick moss. Gentle creeks trickle over ancient rocks, through the fine selection of cedars only found in Japan , and which are named for it (they are called “yakusugi” or “Yakushima cedars”). There are hiking trails too, some of which date back to the Edo period (the 17th through mid-19th centuries). It is also notable because it served as an inspiration for Studio Ghibli’s Princess Mononoke, which addresses the tension between humans and nature spirits in the forest setting. Lead artist Kazuo Oga was said to have spent many hours sketching the forest in preparation for the film.",Take the one of the Mutsubanda buses from Miyanoura to the stop at Shiratani Unsuikyo park.
11,Gunkanjima Island,"Nagasaki, Japan","Once the most densely populated place in the world, this island is now a ghost town.",https://www.atlasobscura.com/places/gubkanjima-island,"Few places in the world have a history as odd, or as poignant as Gunkanjima’s. The tiny, fortress-like island (also known as “Hashima” or “Battleship Island”) lies just off the coast of Nagasaki. The island is ringed by a seawall, covered in tightly packed buildings, and entirely abandoned - a ghost town that has been completely uninhabited for more than forty years. In the early 1900s, Gunkanjima was developed by the Mitsubishi Corporation, which believed - correctly - that the island was sitting on a rich submarine coal deposit. For almost the next hundred years, the mine grew deeper and longer, stretching out under the seabed to harvest the coal that was powering Japan’s industrial expansion. By 1941, the island, less than one square kilometer in area, was producing 400,000 tonnes of coal per year. And many of those working slavishly in the undersea mine were forced laborers from Korea. Even more remarkable than the mine was the city that had grown up around it. To accommodate the miners, ten-story apartment complexes were built up on the tiny rock - a high-rise maze linked together by courtyards, corridors, and stairs. There were schools, restaurants, and gaming houses, all encircled by the protective seawall. The island became known as “Midori nashi Shima,” the island without green. Amazingly, by the mid-1950s, it housed almost six thousand people, giving it the highest population density the world has ever known. And then the coal ran out. Mitsubishi closed the mine, everyone left, and this island city was abandoned, left to revert back to nature. The apartments began to crumble, and for the first time, in the barren courtyards, green things started to grow. Broken glass and old newspapers blew over the streets. The sea-breeze whistled through the windows. Now, fifty years later, the island is exactly as it was just after Mitsubishi left. A ghost town in the middle of the sea. From 1974 to 2009, the island was officially closed to all visitors, but recently the intriguing site has been re-opened to organized tours. The site was approved for inclusion on the UNESCO World Heritage list on July 5, 2015.","The island is only accessible on organised tours. Nagasaki Municipal Government runs trips (ph: +81 095-829-1152), or cruises to the island are available from the Yamasa Kaiun maritime transport company (+81 095-822-5002)."
12,Yoro Park,"Yoro, Japan",Experience park where visitors are told to expect the unexpected.,https://www.atlasobscura.com/places/yoro-park-site-of-reversible-destiny,"The primary attraction of Yoro, a town located in Gifu, Japan, on the eastern side of the Yoro Mountains, Yoro Park is a theme park described as an “experience park,” where visitors are told to expect the unexpected. Also known as the Site of Reversible Destiny, it was conceived by New York-based artists/architects Arakawa and Gins in 1995. Visitors to the park, which sits in a town of only 33,000, are led through the many attractions by a series of guides who know how best to manipulate the surroundings. Attractions include the Critical Resemblance House; the Site of Reversible Destiny; and the Elliptical Field, which resembled a large, bowl-shaped basin. The Critical Resemblance House has a map of Gifu Prefecture as its roof and is filled with sets of furniture arranged in pairs on the floor, the ceiling, and even under the floor. The Elliptical Field is a series of nine pavilions joined by an intricate network of 148 paths. The park also includes golf courses, tennis courts, food courts, and a special area called Kid’s World. Constructed in October 1995, Yoro Park was designed to incorporate the 100 waterfalls in the immediate area, which are another popular draw for visitors. Update December 2019: The park is currently undergoing an extensive renovation to restore some of the attractions. However, temporary pathways have been erected so visitors may still enjoy view and explore every sculpture.","Take the train to Yoro Station, and walk west up The hill. Free shuttle buses are available on high-visitor days."
13,Kochia Hill,"Hitachinaka, Japan","Every autumn, this hillside is ablaze with red summer cypress.",https://www.atlasobscura.com/places/kochia-hill,"The scrubby little kochia plants, otherwise known as summer cypress, are not much to look at for most of the year, but at the end of the wet season they take on an extraordinary brilliant red color, lending them the name “Burning bush.” In Hitachinaka City at the Hitachi Seaside Park, a vast stretch of rolling hills is jam-packed with the vivid crimson bushes that sway with the breeze, with whimsical Oz-like roads winding throughout. Outside of the park, kochia is more often gathered for the more mundane purpose of making brooms, but the park takes advantage of how spectacular it can be when planted in such abundance. The park’s gentle slopes are full of flowering plants year round, often in enormous, monochromatic displays, and is also famous for its blue nemophilas, flowers with transparent blue petals. Overlooking it all is a looming ferris wheel.","To get to the park from Tokyo, take the JR Joban Line super express “Hitachi” to Katsuta Station. From Katsuta Station take the local bus from bus stop #1 and get off at Kaihin-Koen-Nishiguchi. Note, Japan's wet season lasts from the beginning of June to mid-July, so if planning to see the kochi plants in bloom, make sure to plan your trip accordingly."
14,Tōdai-ji Daibutsuden (The Great Buddha Hall),"Nara, Japan","This massive wooden building contains a giant Buddha, healing pillars, and tame deer wandering the grounds.",https://www.atlasobscura.com/places/t-daiji-daibutsuden-great-buddha-hall,"There are many amazing things about Tōdai-ji and the Daibutsuden or “Great Buddha Hall” in Nara, Japan, such as the gigantic bronze Buddha, which nearly bankrupted Japan in 751, or the fact that this massive Buddha sits in what was once the world’s largest wooden building (surpassed in 1998 by a Japanese stadium). There are also the ancient treasures such as an octagonal lamp from the 700s, but the most surprising sight at the temple is the deer. Known as Sika Deer, they wander through the temples, sleep in corners, and generally stand around as tourists take their pictures. Once considered sacred messengers of the Shinto gods, and protected, they were later hunted to near extinction. Though they have been variously protected and hunted throughout their history in Japan, their population is strong today. Many are tame and established themselves in cities and touristy areas, eating from the hands of delighted visitors. They are even known to come up and bite visitors gently on the buttocks signaling that they desire crackers and they will steal bags from the unwitting. Despite having been damaged and destroyed multiple times due to fire, earthquakes, and accident (the Buddha’s head fell off in 855) both the buildings and the statues have been continually repaired. Today Tōdai-ji, or the Great Eastern Temple complex, and the Great Buddha Hall it contains are in excellent shape. The entryway to the temple is massive, with two towering guardians on each side protecting the great Buddha. The Buddha itself, the world’s largest statue of the Buddha Vairocana (or “Birushana” in Japanese) is seen as the universal aspect of the Buddha, a sort of all-in-one Buddha. The statue weighs some 500 tonnes and is a towering 49 feet tall, with a 17.5 foot-long face. His hair is made of 966 individual bronze balls. Creating this massive bronze Buddha occupied much of Japan’s bronze production during the 700s. Inside the giant temple there are numerous artifacts worth seeing beyond the Great Buddha. As Nara was once the capital of Japan, a lot of history sits in this place. Among the many things to see are miniature replicas of the temple and the grounds, various Buddhist statues, and the (somewhat unfair to the overweight) healing pillars, wooden columns with a hole in the bottom that bring good luck, or you allow you to reach enlightenment in your lifetime and some even say entrance to heaven, if you can squeeze through it.",
15,Fushimi Inari-taisha Shrine,"Kyoto, Japan","The 10,000 Torii shrine.",https://www.atlasobscura.com/places/fushimi-inari-shrine,"Originally established in 711 CE by Korean lords of the area, Fushimi Inari Shrine is the most famous of several thousand shrines dedicated to Inari, the Shinto god of rice. Foxes are thought to be the messengers of Inari and as such many fox statues can be found at Inari shrines. The foxes are sometimes seen holding keys in their mouths, the key to the rice granaries. Japanese merchants, in particular, worship Inari to bring them wealth and leave numerous offerings at the shrines, particularly fried tofu called abuurage which is believed to be Inari’s favorite food. Fushimi Inari Shrine is also famous for its countless torii gates, offerings by worshippers, that cover the hiking trails of the wooded Mount Inari towering right behind the shrine. These torii gates envelope a path that winds over 2.5 miles up the Inari mountain. You’ll notice that on each torii there is kanji writing. On one side of the torii gates, you’ll see the name of the person or organization that donated it as well as the date that it was donated. The oldest gates there are said to be from the 8th century and new ones are being added frequently. It takes about two hours to walk along the whole trail. Film buffs might recognize this location because parts of the movie Memoirs of a Geisha were shot here. Along the hiking trail, there are several teahouses where you can rest like a pilgrim of bygone days. Once you’re back at the foot of Mount Inari around the entrance, you can also enjoy Kyoto-style Inari sushi—rice wrapped in aburaage—at one of the many establishments that have served food to the shrine-goers for centuries.","The shrine is a three-minute walk from JR Nara Line Inari Station, 10 minutes from Kyoto Station. It is a five-minute walk from Keihan Electric RailwayMain Line Fushimi-Inari station. Recommend arriving early in the morning before the crowds and, if able, taking the winding path all the way to the top of the mountain under the unending maze of torii gates to view hundreds of shrines, foxes, and folded paper cranes."
16,The Firefly Squid of Toyama Bay,"Namerikawa, Japan",Bioluminescent firefly squid light up this Japanese fishing port.,https://www.atlasobscura.com/places/firefly-squid-toyama-bay,"Watasenia scintillans, or the Firefly Squid, is only 3 inches long, but packs a stunning feature in that small package. At the end of their tentacles are special organs called photophores that light up like glow sticks at a rave. In the Toyama Bay, in the central Japan Sea, the squid are found in fantastic abundance. Normally living at 1200 feet underwater, a v shaped canyon in Toyama bay pushes the current, and the squid, to the surface in massive numbers where, forced up, the millions of squids turn the bay into a writhing, gleaming blue froth. Fished by the ton from March to June, when the fishing boats dump the nets onto the boat floor the squirming squids light up and turn the boats themselves into blue beacons. Thankfully, for the curious visitors, one need not sign up to work on a Japanese fishing-boat tour to see the phenomenon. Sightseeing boats depart from the Namerikawa fishing port around 3am to see the nets 1 to 2 km offshore. It should be noted that Namerikawa is also home to the world’s only museum dedicated to the firefly squid.",
17,Nishiyama Onsen Keiunkan,"Hayakawa, Japan","The oldest hotel in the world has been operated by the same family for over 1,300 years, even catering to samurai.",https://www.atlasobscura.com/places/nishiyama-onsen-keiunkan,"Nestled among a number of picturesque hot springs in the mountains, the traditionally-styled Nishiyama Onsen Keiunkan in the Yamanashi Prefecture, Japan, is recognized as the world’s oldest hotel, inn, and possibly even business in general, catering to everyone from ancient samurai to modern tourists for over a thousand years. Originally established in 705 CE, the traditional “onsen” or “hot spring” was the brainchild of the son of the reigning emperor’s aid. The natural hot springs in the area allowed for the creation of a number of healing baths that drew visitors and military men from all around to come and relax. Among these early patrons were a number of samurai and famed shogun, giving the spa a bit more notoriety still. From its inception, the Keiunkan onsen has been passed down within the original family through the centuries. 52 different generations of descendants have cared for and operated the inn, growing the space and modernizing it slowly with each passing epoch. Today the site is considerably larger than it was over a thousand years ago, but both the look and feel of the inn have remained surprisingly unchanged. Despite modern amenities, the simple, calming design of the spaces and the natural mountains surrounding them make it feel as though it is still 705. Keiunkan currently holds the Guinness World Record for oldest hotel and is now aiming for another, world’s most productive hot spring, thanks to their new bath that pumps over a thousand liters of naturally heated water per minute.",
18,Giant GUNDAM Robot,"Tokyo, Japan",A 20-meter (65-foot) robot towers over Tokyo Bay.,https://www.atlasobscura.com/places/giant-gundam-robot,"Welcome to one of Tokyo’s strangest tourist attractions, a 20-meter robot standing in a park, overlooking the harbor of the world’s manga metropolis. The lifesize, plastic replica of a robot or “Mobile Suit”, from Gundam, (a hugely popular Japanese animation series), officially opened on July 11, 2009, for the celebration of Gundam’s 30th anniversary. It was closed on August 31, however, such a sight could not remain hidden away for long. After attracting 4.5 million visitors in its first month on display, it popped up again the following year in Shizuoka, where Bandai manufactures its popular Gundam models. It was returned to Tokyo in 2011, displayed in fragments that visitors could pay a small fee to check out or take pictures with, to raise money following the tsunami that had devastated Japan. It is now back in all its glory, outside of a new theme park and museum of all things Gundam, called Gundam Base in the Diver City shopping center. The robot—which shoots smoke and lasers, can move its arms and head, and plays disco music—will be a number one draw on the sightseeing hitlist of visiting otaku, as anime-loving geeks are called here. The Gundam robot is large enough to be visible on the drive from Narita airport to downtown, as cars cross the Tokyo Bay-spanning Rainbow Bridge. The Gundam series itself remains a spectacular commentary on modern warfare, originating from a country that has seen the horrors of dramatic shifts in war technology first hand. The show’s criticisms of warfare seem even more true to life as the Gundam Robot takes its place along the real Tokyo skyline. Update: The original RX-78 Gundam was taken town in March 2017 and replaced in October 2017 with a life-size Unicorn Gundam from the recent series.",Check the website for a schedule of showtimes during the day.
19,The Vine Bridges of Iya Valley,"Miyoshi, Japan","Hanging over one of Japan's ""hidden valleys,"" these vine bridges must be remade every three years.",https://www.atlasobscura.com/places/vine-bridges-japan,"One of Japan’s three “hidden” valleys, West Iya Valley is home to the kind of misty gorges, clear rivers, and thatch-roofed houses that one imagines from a Japan of 100 years ago. Remote and difficult to enter, the valley was a favored hideout of refugees, bandits, and disgraced warriors. To get across the Iya river that splits the rough valley terrain, these bandits, warriors, and locals created a very special, if unsteady, type of bridge — a vine bridge. No one is sure exactly who first created the vine bridges that reach across the Iya River (there were at least 13 at one point), although a couple of popular theories exist, both steeped in folklore. One tale says that the bridges were created by spiritual figure Kōbō-Daishi, the founder of Shingon Buddhism. Assumedly he came to the impromptu solution while traveling in the area and the idea caught on well enough to become a tradition. The other school of thought is that the bridges were originally the work of the legendary Heike refugees who would have built the bridges while fleeing from the Genji Clan, in search of a safe place to settle down. The idea was that the bridges could be easily cut down, turning the river valley into a naturally impassible barrier to their enemies. To create the bridges, two Wisteria vines — a particularly aggressive and tough vine that climbs around any host — were grown to extraordinary lengths from either side of the river. Once the vines had reached a sufficient length they were woven together and planking was woven into them at 8 to 12 inches apart. The bridge had no sides and a Japanese historical source relates that the original vine bridge was so unstable, that when those who were not used to it attempted to cross, the bridge would start to sway and bounce wildly causing the poor soul to freeze in place, unable to go any farther. No doubt this suited the reclusive residents of Iya Valley just fine. Local artisans have continued to keep the bridges alive, and while the number of bridges has dwindled to three, they are no less amazing. The largest and most accessible of the spans is the Iya Kazurabashi Bridge which reaches almost 150 feet across the valley at a height of almost 50 feet above the water. This more popular of the vine bridges is in West Iya, quite close to the main village, but the most beautiful vine bridges are a pair found in the east of the valley, known as the husband and wife bridges. Though stories range as to their origins, some believe they were built in the 1100s. While some (though apparently not all) of the bridges have been reinforced with wire and side rails, they are still harrowing to cross. 147 feet long, with planks set seven inches apart and a drop of four and a half stories to the water, they are not for those with a fear of heights. As one bridge crosser put it: “You never think a vine bridge is scary until you walk on one and shit a brick.” About a two-hour drive from Tokushima City, the bridges can still be crossed for 500 yen.",
20,Yokai Street,"Kyoto, Japan",This neighborhood thoroughfare is haunted by dozens of homemade monsters.,https://www.atlasobscura.com/places/yokai-street,"Kyoto, Japan’s Ichijo-dori street is a fairly typical neighborhood street save for the dozens of monsters standing sentinel in front of most of the local businesses. Also known as Yokai (“monster”) Street, the tight commercial lane celebrates the often strange beings that populate local folklore. There is a wide range of yokai in Japanese legend ranging from good to mischievous to outright evil. Some are animals, some are human, and some are inanimate objects that have simply come to life. Many of the creatures come from children’s stories or teachable fables parents might tell their children so they would take care of their things and not be wasteful. For instance, treat the broom with respect or, when you break it, it will come alive and haunt you. Ichijo-dori street is home to around 30 of these outlandish creatures that have been created by the owners of the businesses they haunt. Some are fully sculpted statuettes while others are odd hodgepodges of clothing and toys. Despite what it might seem like, the street is not a typical tourist grab. It is populated by small local businesses catering to clientele in the neighborhood. There are no souvenir shops or anything of the sort, simply fun, quirky attempts to bring some attention to the neighborhood and breathe some life into aspects of all but forgotten Japanese folklore.",Standing at the south exit of the shrine on Imadegawa dori you will see a street just east that leads south. Walk south a couple of minutes until you hit a small huddle of shops. Turn west and you will run into these guys.
21,Gotokuji Temple,"Tokyo, Japan",The legendary birthplace of the Japanese maneki-neko is dotted with hundreds of lucky beckoning cats.,https://www.atlasobscura.com/places/gotokuji-temple,"Gotokuji, a Buddhist temple in Tokyo’s Setagaya district, has become famous due to a legend citing it as the birthplace of the maneki-neko (beckoning cat) good luck charm. There are over thousands of maneki-neko cats, from big to small. Locals and tourists alike put new maneki-neko cats every day, so the number is constantly increasing. Legend has it that during the Edo period, the final era of traditional Japanese government, a cat under the care of a priest at Gotokuji Temple led a feudal lord to safety during a thunderstorm. The cat beckoned the lord and his servants inside with a waving gesture—hence all maneki-neko statues have one paw raised. The lord enjoyed tea with the priest while the thunderstorm raged outside. To express his thanks afterward, he donated rice and land and selected Gotokuji Temple as the cemetery for his prestigious family. Today, visitors can see hundreds of lucky cat figures on display around a statue of the goddess of mercy, Kannon. The main building and grounds are dotted with cats, while cat-related art lines the streets surrounding the temple.","Gotokuji is easily accessible from central Tokyo. From Shinjuku station, take the Odakyu line in the direction of Hon-Atsugi directly to Gotokuji station. It takes around 30 minutes. The shrine is less than five minutes walk from Gotokuji station.Gotokuji Temple opens everyday from 6am to 6pm. Entrance is free."
22,Godzilla Head,"Tokyo, Japan","He's not quite the menace he once was, but he still has some chops.",https://www.atlasobscura.com/places/godzilla-head,"Hard to believe, but Godzilla is now eligible for Social Security. He first emerged from his atom bomb disturbed slumber in 1954, and 29 films later—despite his senior status—he’s still “King of the Monsters.” No place knows this better than Godzilla’s hometown of Tokyo, where a giant head of the scaly menace has been seen towering over the Toho Building in the Shinjuku Ward. Toho is the Japanese studio behind the Godzilla franchise, and they added their trademark character to help publicize their Shinjuku movie theater complex. The building also houses Hotel Gracery, a a 970-bed hotel which opened in 2015 and features Godzilla-themed rooms. The head harkens back to the classic Godzilla, instead of the more lateral and lizardly look he took on in the 1998 version. He evokes the beloved and cuddly “guy in a rubber suit” look, with some added light-up eyes and glowing claws. And every few minutes he lets out his signature screechy roar, a little bit car crash, and a little bit nails-on-chalkboard. The Godzilla head is 40 feet tall, which is life-size if you consider that the original monster topped out at 165 feet–about a 16-story building. He can’t quite stomp on his Toho creators downstairs, but he can still give them a good scare.",The Godzilla head is located atop the Toho building Tokyo's Shinjuku ward. If you walk to the building from the Shinjuku Station you'll see him. He's too big to miss.
23,Yunessun Spa Resort,"Hakone, Japan","This spa theme park lets its guests take a dip in pools of coffee, wine, or ramen broth.",https://www.atlasobscura.com/places/yunessun-spa-resort,"After centuries of traditional bathhouses and hot springs (known as “onsen”), it’s little wonder that the Yunessun Spa Resort has decided to branch out into more exotic bathing options like green tea baths and ramen pools. Set at the foot of lush green mountains, the spa/theme park in Japan’s Hakone prefecture offers all of the refreshing spa treatments one might expect from such a relaxation palace, but its theme baths are like nothing else in the world. The complex offers a number of theme spas such as the Roman-styled Ancient Roman Bath or the massive God’s Aegean Sea. However its the drink-themed attractions like the Green Tea Spa, where bathers get to relax in a pool filled with actual tea, that steal the show. In addition to the relaxing tea bath, the site also has a Red Wine Spa, a Japanese Sake Spa, a Coffee Spa, and a pepper-water filled Ramen Noodle Spa. More than just colored water, these pools are filled with the actual drink. The coffee is brewed in pots and poured into the pool barrel-by-barrel, and the sake and wine baths could even get someone drunk (although drinking any of these waters is highly inadvisable). Don’t miss the coffee- and wine-pouring ceremonies, which occur several times each day at hours posted near the pools themselves.  Be warned, however, that much like a Nickelodeon gameshow, more juice ends up on the spectators than in the spa. Each themed bath also features over-sized drink containers associated with the bath. For instance, the wine bath issues from a giant wine bottle, and massive fake noodles hang over the ramen pool. Baths can be both relaxing and fun but Yunessun has finally created baths that can make people hungry.",
24,Pigment,"Tokyo, Japan",Every color in the rainbow awaits.,https://www.atlasobscura.com/places/pigment,"In bustling Tokyo, there is an artist’s dream come true: thousands of pigments with names like “Autumn Mystery” and “Luxury Twinkle” line the neat, airy bamboo shelves of a store called Pigment. Pigment is dry concentrated color dust used to give fabric, ink, plastics, and, of course, paint their hue. By adding a binding agent like oil or glue to the powder, the pigment becomes adhesive. It’s an older style of paint-making as opposed to purchasing paint pre-mixed, but many artists prefer it for its simplicity and versatility. The store also sells other traditional Japanese painting supplies like brushes, papers, frames, natural animal glue, and ink stones. Pigment the store is just as beautiful as its contents. It was designed by renowned architect Kengo Kuma, whose work connects ancient principles of Japanese art and ideology to the modern day. Much like pigment, it’s simple, natural, and basic but elegant too. The store is made almost entirely of bamboo with gently waving lines, lots of open space, and light. The store does ship art supplies ordered online, but Pigment’s physical store and displays are something to behold.","It's a roughly three-minute walk from the Tokyo Waterfront Area Rapid Transit Rinkai Line ""Tennozu Isle Station"" and a roughly five-minute walk from the Tokyo Monorail ""Tennoz Isle Station."""
25,Sengaku-Ji,"Tokyo, Japan","This Buddhist temple is home to the graves of the Japanese national legends, the 47 Ronin.",https://www.atlasobscura.com/places/sengaku-ji,"The tale of the 47 Ronin (or 47 Loyal Retainers) as they are still known in Japan, is one of the most iconic tales in the country’s history, and their bodies are buried in tightly packed rows at the Sengaku-Ji temple. The story of the 47 Ronin (historically known as “The Ako Incident,” and known in fiction as the “Chushingura”) is held as an exemplar of the Bushido honor code associated not just with historic samurai, but which is also part of the national identity. The story tells of Asano Naganori, a feudal lord in 18th century Japan, who was forced to commit ritual suicide (seppuku) after he attacked Kira Yoshinaka, a high-ranking master of ceremonies. Naganori’s death left the samurai under his auspice without a master, and 47 of them felt honor-bound to take revenge. Newly ronin-ized, the 47 warriors disappeared into lives of drunkenness and vice for over a year, although according to the legend, this was all part of the plan. In December of 1703, the 47 Ronin pulled themselves out of their seeming stupor, and launched a surprise attack on Yoshinaka’s castle. They successfully killed Yoshinaka, avenging their master. However true to their code they then turned themselves into the authorities, who then asked each of them to commit seppuku. The 47 Ronin took their own lives, upholding the sacred Bushido code. Based on actual events, the story has become so ingrained as a national legend that exact fact and fiction are not immediately easy to separate. Nonetheless, Naganori and his 47 Loyal Retainers, or the men the legend is based on, are buried at the 17th century Buddhist temple, Sengaku-Ji. The temple is still a popular destination for visitors looking to pay tribute to real-life legends.","About 3 minutes from Sengakuji Station, but also within a walking distance from Shinagawa, which should take more or less 15 minutes."
26,Shin-Yokohama Ramen Museum,"Yokohama, Japan",This historical theme park celebrates all things noodle.,https://www.atlasobscura.com/places/shin-yokohama-ramen-museum,"Though the ramen noodle originated in China, that’s not stopping Yokohama from erecting a three-story historical museum, theme park, and restaurant experience catering to devotees of the famous “everyman’s” food. At the ground level, a detailed history of the ramen noodle is on full display, replete with vintage ramen paraphernalia, 25 years of noodle commercials broadcast via digital displays, two life-size dioramas depicting the inner workings of an instant ramen factory, and more. Occupying the two bottom-most floors is a miniature historical theme park where visitors stroll through a 1:1 scale replica of Tokyo’s old town as it appeared at the beginning of the ramen boom in 1958, including period billboards overhead. Of course, no trip to the Disneyland of noodles would be complete without sampling the delicacy in question. Nine carefully selected restaurants occupy the recreated storefronts, representing many of Japan’s regional takes on ramen. Since few people in their right minds could choose between Sapporo-style noodles and chaa-shu (traditional roast pork) or Hokkaido’s version garnished with kikurage (“wood ear”), most restaurants offer half servings for maximum ramen overload. Folks interested in the sweet over the savory can visit a period-accurate candy shop or partake in cotton candy hawked by street vendors without missing any of the old-timey fun.",The Ramen Museum is a 5-10 minute walk from Shin-Yokohama train station. The admission fee to enter is ¥500.
27,Narusawa Hyoketsu (Ice Cave),"Narusawa-mura, Japan","A 70-foot-deep ice cave formed by lava from Mt. Fuji on the edge of Japan's ""Suicide Forest.""",https://www.atlasobscura.com/places/narusawa-hyoketsu-ice-cave,"All throughout Aokigahara, a forest on the island of Honshu in Japan, are underground caves that were formed by volcanic activity from the nearby Mount Fuji. If you ever go exploring, you may just fall into one. One of the largest and most impressive of these lava caves is the Narusawa Hyoketsu. Stairs lead down into the 70-foot-deep cavern and areas where you must crouch to get through. Once you reach the bottom, the ice is crystal clear and stunning, catching the color-changing light beautifully. Narusawa Hyoketsu formed as a result of a massive eruption of Mount Fuji in the year 864. Lava flowed through a channel beneath the hardened surface, leaving behind this 156-meter (512-foot) underground tunnel. The average temperature of the cave is around zero degrees Celsius. As water drips through the rock, it freezes into long, spindly icicles as well as larger pillars of ice, some of which stand around 30 meters (100 feet) tall. The ice is there year-round, though it is larger in the winter, when icicles can reach up to three feet long.  Located on the edge of the Aokigahara, also known as the “Sea of Trees,” Narusawa Hyoketsu is designated a Natural Monument of Japan.","Very easy to reach using the ""sightseeing buses"". Maps and affordable bus passes are available at Kawaguchiko station. Discounted entrance fee if you've purchased a bus pass (instead of paying for each ride separately). Very easy and cheap to visit if you were already planning to visit Aokigahara, as it is literally on the edge of the forest."
28,Omoide Yokocho,"Tokyo, Japan","Colloquially known as “piss alley,” this narrow street filled with tiny bars and barbecue stands looks like it was pulled straight out of “Blade Runner.”",https://www.atlasobscura.com/places/omoide-yokocho,"Located near the busiest train station in the world, a tiny alley of around 60 small bars and restaurants linked by a narrow street just wide enough for two to pass stands in a stark contrast to its crowded neighbor. This area, known as Omoide Yokocho (“Memory Lane”), started out as a black market in the late 1940s after World War II. The strip was also known for cheap drinks and grilled skewers of yakitori. The area’s many watering holes and lack of public restrooms earned it the nickname “piss alley,” as inebriated patrons would relieve themselves in the street. Although the alley was partly razed to make room for the new Shinjuku station and partly destroyed in a fire in the 1990s, a sizable chunk has survived. The local government also rebuilt the fire-damaged sections, making sure to restore their original Shōwa-era appearance.  Today, Omoide Yokocho is filled with tiny stalls serving yakitori and nikomi (a type of beef tendon stew) meant to be washed down with plenty of cheap beer and sake. One of the most famous, or infamous, of them is suggestively named Asadachi, which means “morning wood.” This bar is known for offering such delicacies as fried frogs, salamanders, and aphrodisiacs such as bull penises to go with your beer. Despite its past, the area is now perfectly safe to visit. Most establishments even offer menus in English. To experience Omoide Yokocho in its full glory, it is recommended to visit at nighttime, when most of the tiny bars are open, the lights are illuminated, and the area is filled with businessmen and tourists alike looking for a quick snack and a good drink.",It's a five-minute walk from Shinjuku station. The Omoide Yokocho website has a convenient map showing the locations of all of the establishments in the alley.
29,Sanjūsangen-dō,"Kyoto, Japan","1,001 carved statues of the Buddhist God of Mercy, each with a unique face.",https://www.atlasobscura.com/places/sanjusangendo,"The Sanjūsangen-dō, or Hall of 33 Bays (the spaces between columns), in Kyoto is a 390 foot long wooden building built in 1266. Officially known as Rengeo-in, this Tendai Buddhist temple houses 1,001 gold-leafed cypress wood statues of Kannon, the Buddhist goddess of mercy, each with a unique face. Photography is not allowed inside the temple. The building itself is so long that it is used as a measure of distance for the Tōshiya archery tournament held every second Sunday in January. On the tournament day, the priests also conduct the Rite of the Willow, in which penitents are touched on the head with wands of willow, said to be a ward against headaches. Fans of the manga Vagabond or the epic novel Musashi will know the tale of the battle between a young Miyamoto Musashi and Yoshioka Denshichirō, which is said to have taken place in the courtyard alongside the Sanjusangendo in 1604.",
30,Akihabara Electric Town,"Tokyo, Japan","Once a black market electronics marketplace, now an otaku shopper's paradise.",https://www.atlasobscura.com/places/akihabara-electric-town,"Originally a gateway used mainly by merchants to enter into Tokyo proper, the neighborhood of Akihabara was born out of a devastating fire in 1869. After the disaster locals began reconstruction with a shrine to a fire protection deity, Akiba. As Tokyo expanded the neighborhood developed, and took the name of the shrine that protected it. Following World War II, as Japan became more future-focused, Akihabara became known as the place to buy electronic goods of all kinds: radios, television sets, household appliances, many of them sold illegally. Tokyoites knew to head to “Akihabara Electric Town” for all the latest contraptions on the market. Naturally, when home computers entered the global marketplace, Akihabara was the place to buy them. In the 1980s, paso-kons, personal computers, were a niche hobby. The evolution of the internet over the decades to come meant that otakus (the obsessive fans that have unified into a proud subculture) could create and share at an ever-increasing rate. The neighborhood’s wares changed to suit this cultural explosion. Though Akihabara is still the place to go for computers, cell phones, cameras, video games, and other electronic goods, the visual landscape has been dominated by anime and manga aesthetic. In recent years Akihabara Electric Town has only become more of a consumer’s paradise. On Sundays the central Chuo-dori street is blocked off to vehicles. Shoppers flood the streets, crowding into big department stores like Mandarake and Don Quijote as well as tiny independent stalls. In particular, it has become a popular place for teenagers to congregate, especially those visiting from outside Tokyo. Cute, colorful wares are for sale, and cosplayers are everywhere. The popular girl band AKB48, which takes its name from the neighborhood, even runs a restaurant in Akihabara. Akihabara isn’t totally overrun by capitalism though: unsigned, independent artists find the neighborhood useful for hawking their CDs, comic books, and novels to eager buyers on the sidewalk.","The address listed is for the Akihabara train station. The neighborhood extends between Kuramaebashi-dori Avenue and the Kanda River from north to south, and between Shohei-Bashi-dori Avenue and the Metropolitan Expressway from east to west."
